ID,Categoría,Nombre_Entidades_Responsables,Conjunto_de_Datos,Descripción,Sistema_de_Información,Publicado,Enlace_Publicado,Dato_abierto,Enlace Portal de Datos Abiertos,Fecha de ultima actualización (dd/mm/aaaa),Estado_Portal_Datos_Abiertos,Recomendación
64,Anticorrupción - PIDA,Departamento Administrativo de la Función Pública,Equipo consejero de alto gobierno,Repositorio de datos que identifica cada consejo asesor o junta directiva al gobierno.,ND,NO,"No disponible en el portal de datos abiertos datos.gov.co, disponible en página web https://dapre.presidencia.gov.co/dapre/conozca-el-dapre/funcionarios",NO,ND,ND,No está publicado en el portal nacional de datos abiertos datos.gov.co,Publicarlo en el portal de datos abiertos datos.gov.co
65,Anticorrupción - PIDA,Consejo Nacional Electoral,Financiamiento a partidos políticos,"Datos que permiten identificar las fuentes de financiación y los donantes de políticos, partidos políticos y organizaciones similares, incluidos los datos sobre las subvenciones o pagos recibidos.",http://www.cnecuentasclaras.gov.co/,SI,"No disponible en el portal de datos abiertos datos.gov.co, disponible en página web http://www.cnecuentasclaras.gov.co/",NO,ND,ND,No está publicado en el portal nacional de datos abiertos datos.gov.co,Publicarlo en el portal de datos abiertos datos.gov.co
66,Anticorrupción - PIDA,Ministerio de Hacienda,Presupuesto General de la Nación,Presupuesto General de la Nación,"SIIF,
CHIP",SI,"En el escenario de portales Web del Estado, existe más de un lugar donde localizar información presupuestal. Entre otros: 
El Ministerio de Hacienda y Crédito Público publica el Presupuesto General de la Nación en formato PDF. 

Consolidados de Hacienda e Información Pública (CHIP) es un sistema de información que canaliza información financiera, económica, social y ambiental de los entes públicos hacia los organismos centrales y al público en general bajo la administración y responsabilidad de la Contaduría General de la Nación. Permite descarga de información en múltiples formatos: XML, XLS, CSV entre otros.

DNP ofrece datos presupuestales de forma tabular en formato PDF sobre entidades territoriales y también dispone del Sistema Nacional de Evaluación de Gestión y Resultados  donde se aterriza el PND que permite la exportación en Excel.",NO,ND,ND,"No esta publicada la base de datos consolidada nacional en el portal datos.gov.co 
Hay disponibles varios conjuntos de datos de entidades del orden territorial",Publicar base de datos consolidada en el portal de datos abiertos datos.gov.co
67,Anticorrupción - PIDA,Colombia Compra Eficiente,Procesos de Adquisición,"El repositorio de datos que identifica cada oportunidad para un contrato público, describe el proceso que se siguió para adjudicarse, como las licitaciones.",SECOP,SI,Disponible en el portal nacional  de datos abiertos https://www.datos.gov.co/Gastos-Gubernamentales/Plan-Anual-de-Adquisiciones-SECOP-II/edfp-tdwk y https://www.datos.gov.co/Gastos-Gubernamentales/Plan-Anual-de-Adquisiciones-SECOP-I/sit3-h7ku,SI,"https://www.datos.gov.co/Gastos-Gubernamentales/Plan-Anual-de-Adquisiciones-SECOP-II/edfp-tdwk 
https://www.datos.gov.co/Gastos-Gubernamentales/Plan-Anual-de-Adquisiciones-SECOP-I/sit3-h7ku",2021-03-25T00:00:00.000,"Publicado en el portal de datos abiertos datos.gov.co 
Hay disponibles varios conjuntos de datos de entidades del orden territorial",Eliminar del portal de datos abiertos conjuntos de datos duplicados de las entidades nacionales y territoriales y crear vistas filtradas del conjunto de datos
68,Anticorrupción - PIDA,"Autoridad Nacional de Licencias Ambientales ANLA
Ministerio de Transporte
Ministerio de Justicia","Licencias Ambientales
Licencias de Conducción
Licencias de Cannabis otorgadas por el Ministerio de Justicia y del Derecho
Licencia Minería",Repositorio de datos que permite identificar cada licencia o permiso otorgado por un gobierno a un individuo u organización para participar en un determinado negocio o realizar una actividad específica.,"ANLA, RUNT",SI,"Disponible parcialmente en el portal nacional de datos abiertos Base de datos de licencias ambientales https://www.datos.gov.co/d/fehs-ifhi, en el portal no esta disponible en la base de datos del RUNT",PARCIAL,"Disponible parcialmente en el portal nacional de datos abiertos 
Licencias ambientales https://www.datos.gov.co/d/fehs-ifhi
Licencias de Canabis https://www.datos.gov.co/Justicia-y-Derecho/Licencias-de-Cannabis-otorgadas-por-el-Ministerio-/9m2f-pdxx
Licencias de conducción NO DISPONIBLE

https://www.datos.gov.co/Ambiente-y-Desarrollo-Sostenible/-reas-Licenciadas-Miner-a/c3hr-3kws",2020-08-13T00:00:00.000,No está publicado en el portal nacional de datos abiertos datos.gov.co la base de datos del RUNT,Actualizar conjunto de datos en el portal nacional de datos abiertos datos.gov.co
69,Anticorrupción - PIDA,Departamento Nacional de Planeación,Alianzas público privadas,Datos sobre todas las asociaciones público-privadas que han sido acordadas por un gobierno,RUAPP,SI,"No disponible en el portal de datos abiertos datos.gov.co, disponible en página web http://www.cnecuentasclaras.gov.co/",NO,ND,ND,No está publicado en el portal nacional de datos abiertos datos.gov.co,Publicarlo en el portal de datos abiertos datos.gov.co
70,Anticorrupción - PIDA,Ministerio de Hacienda,Gasto público desagregado de las entidades del orden Nacional,Gasto público desagregado de las entidades del orden Nacional,SIIF,SI,"La principal fuente de datos sobre gasto público se expone a través del Portal de Transparencia Económica que gestiona el Ministerio de Hacienda y Crédito Público. Los datos que se publican provienen del sistema SIIF. En él se publica: 
Ingresos, Gastos, Contrataciones, Regionalización Contabilidad. 
La granularidad de la información desciende a nivel de año,  sector y entidad. El portal permite exportar datos en formato Excel. Este portal utiliza las mismas condiciones y términos de uso del portal del Ministerio de Hacienda y Crédito Público, con lo cual hereda sus restricciones de reutilización.",SI,https://www.datos.gov.co/Econom-a-y-Finanzas/Ejecuci-n-Presupuestal-por-Sector/vt2w-ctiv,2017-09-13T00:00:00.000,"Publicado en el portal de datos abiertos datos.gov.co como  un enlace al Portal de Transparencia Económica  http://www.pte.gov.co/WebsitePTE/EjecucionPresupuestalComparativaAnios

No esta cargada la base de datos consolidada nacional en el portal datos.gov.co 

Hay disponibles varios conjuntos de datos de entidades del orden territorial",Automatizar cargue del conjunto de datos en el portal nacional de datos abiertos datos.gov.co
71,Anticorrupción - PIDA,El Instituto Colombiano de Crédito Educativo y Estudios Técnicos en el Exterior Mariano Ospina Pérez - ICETEX,Becas o Subsidios de gobierno,Se refiere a datos sobre donaciones y otro tipo de contribuciones que un gobierno ha otorgado a diferentes organizaciones o individuos.,ND,SI,Disponible en el portal nacional  de datos abiertos https://www.datos.gov.co/en/Educaci-n/Icetex-Becas-Vigentes/9ghi-7xv6,SI,https://www.datos.gov.co/en/Educaci-n/Icetex-Becas-Vigentes/9ghi-7xv6,2020-09-03T00:00:00.000,"Publicado en el portal de datos abiertos datos.gov.co 
Hay disponibles varios conjuntos de datos de entidades del orden territorial",Eliminar del portal de datos abiertos conjuntos de datos duplicados de las entidades nacionales y territoriales y crear vistas filtradas del conjunto de datos
72,Anticorrupción - PIDA,Colombia Compra Eficiente,Registro de Contratos,Repositorio de datos que identifica cada contrato público actual y pasado que ha sido firmado por una entidad gubernamental.,SECOP,SI,Disponible en el portal nacional  de datos abiertos https://www.datos.gov.co/Gastos-Gubernamentales/SECOP-Integrado/rpmr-utcd,SI,https://www.datos.gov.co/Gastos-Gubernamentales/SECOP-Integrado/rpmr-utcd,2021-07-08T00:00:00.000,"Publicado en el portal de datos abiertos datos.gov.co 
Hay disponibles varios conjuntos de datos de entidades del orden territorial",Eliminar del portal de datos abiertos conjuntos de datos duplicados de las entidades nacionales y territoriales y crear vistas filtradas del conjunto de datos
73,Anticorrupción - PIDA,Auditoria General de la nación,Datos de auditorías,Datos sobre los resultados de los procedimientos de auditoría y evaluación realizados por entidades gubernamentales externas,Sistema Integral de Auditoria,SI,Disponible en el portal nacional  de datos abiertos: https://www.datos.gov.co/Organismos-de-Control/Resultado-de-la-Ejecuci-n-del-Plan-General-de-Audi/wasc-xi4h,SI,https://www.datos.gov.co/Organismos-de-Control/Resultado-de-la-Ejecuci-n-del-Plan-General-de-Audi/wasc-xi4h,2021-06-28T00:00:00.000,Publicado en el portal de datos abiertos datos.gov.co,Publicado en el portal de datos abiertos datos.gov.co
